,vacancy_id
549,130977100
550,130455980
551,131100036
554,131403127
555,131182855
557,131112284
559,128149341
560,131128371
561,131315169
562,131205951
564,131377331
565,131261266
566,131751276
567,128082912
568,131013851
569,131777463
571,131512657
572,128981566
574,131744316
577,131786183
579,131117918
580,130991788
583,130948858
587,130364847
589,130323792
590,131783213
591,130961215
592,131755402
593,131301335
594,130637582
595,131027881
596,131028697
597,131793090
598,131386448
600,131744169
601,131694129
602,131758433
603,130611569
604,131111122
606,130972856
607,131790801
608,131685507
609,131590774
610,130139609
611,130969724
613,131700505
614,131258020
615,131699943
616,131734901
617,131391891
618,131653767
619,130965414
621,131717274
623,130977255
624,131203568
626,123534526
627,130979413
628,131031502
630,131680792
631,131591146
632,130424998
633,131619490
634,130911671
635,130916309
636,131267812
638,131668382
639,131595694
640,130375552
641,131041791
642,131478283
643,131601764
644,131387623
645,131589009
646,131531199
649,129704210
650,131551598
651,131572360
652,131373924
655,131519276
657,130335444
658,131485238
659,131445422
660,131510050
661,131604375
662,131273840
663,131398360
664,131411465
665,131325886
666,131497679
668,131468983
671,131541969
672,130390244
673,130079446
675,130796678
677,131438344
679,131379166
680,129625935
681,130582118
682,130972215
683,131481811
684,131590048
686,131349555
688,129811293
689,129813525
690,131130677
691,130788856
692,131316134
694,131607525
695,131606133
696,130424954
697,131098802
698,131037149
699,131577661
700,131138215
704,131271012
706,130971306
708,130995395
709,131583967
712,130489533
718,129144602
719,131167625
720,131521416
721,130962546
722,131209121
723,131218200
724,131481535
725,131099721
726,131025657
727,131215383
728,131273726
730,131025719
732,131014258
734,124220128
735,131025658
736,131424353
737,130196287
738,131026121
741,131189476
742,129763603
743,131417703
744,131414017
745,123936243
746,131121359
747,130424192
748,131244680
749,131217117
750,131083065
751,131190250
752,131311908
754,131142357
755,131209290
759,130142456
760,130958053
762,131732777
774,131087859
775,131087860
776,131087861
777,131087862
778,131087863
780,131749977
781,131501998
787,131661788
793,131522020
794,131522021
795,131522022
797,131522049
799,131261607
801,131000169
803,131406217
804,131268365
805,131182797
807,131692106
809,131330595
812,126656498
813,130936905
814,131478573
823,131522023
829,129401518
831,131796015
836,131318078
840,131602971
842,131717299
847,131133596
850,131662856
851,131495439
856,131773068
860,131674761
867,128742418
874,131088973
910,131621582
912,130772518
928,131624919
931,131673930
938,131337902
971,131012872
974,130078372
975,131038979
978,131022314
983,131142567
1003,131438311
1004,131438312
1005,131438313
1006,131750764
1013,131730933
1023,130440393
1026,131133167
1035,131039321
1036,130141552
1038,131580098
1046,130820168
1048,130821679
1049,123649431
1054,131478134
1060,128780129
1065,131520745
1066,130820522
1070,131570989
1076,131466282
1081,130714500
1095,131462345
1110,131081027
1112,130350686
1113,126912405
1116,128519683
1132,131775680
1139,131794864
1141,131788544
1154,131771879
1161,131421553
1162,131686585
1165,131762644
1181,131777655
1195,130889390
1220,130991829
1221,130991830
1222,130991831
1224,131476963
1230,128063837
1232,129833502
1233,129833503
1234,129833504
1235,127100510
1247,131455215
1260,131535138
1262,131554046
1264,131713185
1272,131712883
1278,117482844
1279,104798557
1280,104798506
1291,131700976
1301,119054415
1311,131467023
1313,131742267
1318,131133035
1319,131423044
1325,131404477
1327,131456030
1333,131304678
1346,130838759
1362,131166902
1367,130950276
1371,131580284
1397,131701108
1399,130530281
1401,130992089
1402,130992090
1403,130992091
1427,130604206
1447,130612211
1452,131481768
1460,130941124
1471,131436064
1474,131656092
1475,129659612
1488,131665521
1510,130991431
1511,130991432
1512,130991433
1516,131613541
1523,131565854
1536,131586048
1544,131563512
1555,131449803
1561,131594583
1562,131594012
1563,131439822
1564,131561028
1566,130018647
1576,131579770
1581,131575126
1606,131544186
1607,131544187
1608,131544188
1612,131550717
1614,131424137
1615,131431268
1617,131788500
1633,131577922
1643,131286501
1644,129025250
1656,131357005
1669,131337665
1676,131332077
1688,131011645
1692,131280649
1721,131266593
1724,123415388
1730,130598455
1733,131523999
1735,131230972
1738,129925493
1740,130760440
1769,131364999
1770,131517336
1798,131354399
1816,131769989
1826,131385951
1838,131075238
1847,129742651
1875,130440094
1877,131037164
1893,131292339
1937,129942998
1945,131091966
1955,131166479
1958,129417908
1961,131290957
1964,131483378
1985,131756505
1987,130982852
1994,130990774
2006,130989850
2010,131755354
2021,131137022
2029,131752998
2031,131745295
2032,126257140
2035,131742744
2044,131175237
2046,130982094
2062,131063359
2068,131305099
2087,130893965
2103,131698568
2110,131505547
2117,131645679
2118,131670601
2125,130406358
2143,130910452
